Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2018,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2018,Feb. 2018,Mar. 2018,Apr. 2018,May 2018,Jun. 2018,Jul. 2018,Aug. 2018,Sep. 2018,Oct. 2018,Nov. 2018,Dec. 2018,TOTAL,
442,Furniture and home furnishings stores,"9,875","9,910","9,937","10,113","9,974","9,971","10,006","9,885","9,818","9,907","9,917","9,884",,
443,Electronics and appliance stores,"7,847","7,941","7,880","7,994","7,945","7,991","7,916","7,940","7,778","7,770","7,714","7,579",,
444,Building mat. and garden equip. and supplies dealers,"29,261","30,076","29,792","29,807","30,546","30,974","30,991","30,601","30,735","31,505","30,855","30,971",,
4441,Building mat. and supplies dealers,"25,775","26,384","26,161","26,343","26,993","27,340","27,298","26,720","26,771","27,214","26,876","27,011",,
445,Food and beverage stores,"61,935","62,026","62,166","62,516","62,516","62,350","62,713","62,510","62,813","63,056","63,138","62,979",,
4451,Grocery stores,"55,465","55,520","55,631","55,999","55,953","55,828","56,158","56,007","56,203","56,414","56,478","56,359",,
4453,"Beer, wine and liquor stores","4,520","4,520","4,564","4,573","4,601","4,575","4,600","4,556","4,629","4,638","4,669","4,664",,
446,Health and personal care stores,"27,671","27,510","27,674","27,937","28,309","28,076","28,258","28,533","28,319","28,555","29,077","27,944",,
44611,Pharmacies and drug stores,"23,053","22,704","22,922","23,096","23,476","23,192","23,516","23,756","23,607","23,740","23,996","23,088",,
447,Gasoline stations,"42,760","43,184","42,612","42,403","43,525","43,773","44,174","44,616","44,089","45,878","43,722","40,962",,
448,Clothing and clothing access. stores,"21,848","22,365","21,697","22,045","22,855","22,343","22,698","22,101","22,112","22,506","22,535","22,028",,
4481,Clothing stores,"15,928","16,343","15,770","15,959","16,660","16,161","16,452","16,147","16,151","16,339","16,452","16,044",,
44811,Men's clothing stores,756,774,764,794,777,777,769,766,762,768,780,750,,
44812,Women's clothing stores,"3,223","3,273","3,205","3,295","3,397","3,283","3,314","3,330","3,345","3,423","3,524","3,251",,
4482,Shoe stores,"3,004","3,071","2,950","3,083","3,180","3,131","3,262","3,012","3,085","3,217","3,208","3,108",,
44831,Jewelry stores,"2,660","2,687","2,710","2,730","2,748","2,780","2,715","2,679","2,615","2,690","2,609","2,605",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,879","7,163","7,237","7,127","7,138","6,919","6,673","6,608","6,503","6,501","6,579","6,398",,
452,General merchandise stores,"58,607","58,670","58,081","58,423","59,682","58,687","58,966","59,202","58,992","59,355","59,962","59,257",,
4521,Department stores,"12,158","12,155","11,500","12,224","12,389","11,873","11,942","11,864","11,674","11,782","11,771","11,433",,
4529,Other general merchandise stores,"46,449","46,515","46,581","46,199","47,293","46,814","47,024","47,338","47,318","47,573","48,191","47,824",,
45291,Warehouse clubs and superstores,"40,031","40,114","40,213","39,859","40,725","40,385","40,578","40,817","40,724","40,924","41,307","41,133",,
45299,All other gen. merchandise stores,"6,418","6,401","6,368","6,340","6,568","6,429","6,446","6,521","6,594","6,649","6,884","6,691",,
453,Miscellaneous stores retailers,"10,855","10,807","10,711","10,651","10,810","10,763","10,411","10,625","10,659","10,907","10,779","10,558",,
454,Nonstore retailers,"54,331","54,637","55,316","56,131","55,818","55,751","56,714","56,948","57,753","58,219","60,268","54,472",,
4541,Electronic shopping and mail order houses,"46,387","47,272","47,799","48,196","48,140","48,339","49,119","49,458","50,248","50,461","52,430","46,816",,
45431,Fuel dealers,"3,591","2,757","2,775","3,188","2,972","2,934","3,052","3,004","3,001","3,175","3,040","2,847",,
722,Food services and drinking places,"59,344","59,653","60,141","59,415","60,723","61,440","62,259","62,635","61,377","61,972","61,731","61,790",,
 ,,,,,,,,,,,,,,,
"(S) Suppressed - Estimate does not meet publication standards because of high sampling variability (coefficient of variation is greater than 30%), poor response quality (total quantity response rate",,,,,,,,,,,,,,,
"is less than 50%), or other concerns about the estimate's quality.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
