Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
442299,All other home furnishings stores,"2,034","1,832","2,181","2,112","2,247","2,156","2,402","2,342","2,176","2,321","2,844","3,966","28,613",
443,Electronics and appliance stores,"7,989","7,707","7,879","7,108","7,624","7,922","7,877","8,064","7,976","7,795","9,932","12,384","100,257",
443141,Household appliance stores,"1,277","1,255","1,422","1,343","1,522","1,533","1,545","1,438","1,470","1,403","1,556","1,610","17,374",
443142,Electronics stores,"6,712","6,452","6,457","5,765","6,102","6,389","6,332","6,626","6,506","6,392","8,376","10,774","82,883",
444,Building mat. and garden equip. and supplies dealers,"20,708","19,470","25,912","30,742","32,454","30,852","29,841","27,107","26,870","27,667","26,075","26,232","323,930",
4441,Building mat. and supplies dealers,"18,481","17,308","22,543","25,266","26,543","26,244","26,289","24,078","23,954","24,370","23,102","22,993","281,171",
44412,Paint and wallpaper stores,684,668,858,923,944,"1,046","1,044",992,977,948,766,730,"10,580",
44413,Hardware stores,"1,735","1,664","1,969","2,133","2,245","2,118","2,054","2,016","1,861","2,061","1,888","1,955","23,699",
445,Food and beverage stores,"56,749","52,155","56,741","55,703","59,296","56,827","59,294","57,957","55,775","57,692","57,099","62,185","687,473",
4451,Grocery stores,"51,643","47,164","51,221","50,112","53,188","50,889","53,017","51,991","50,083","51,795","51,135","53,848","616,086",
44511,Supermarkets and other grocery (except convenience) stores,"49,782","45,356","49,167","48,012","50,870","48,597","50,611","49,709","47,930","49,666","49,139","51,876","590,715",
4453,"Beer, wine, and liquor stores","3,486","3,397","3,761","3,768","4,222","4,104","4,409","4,140","3,955","4,145","4,135","5,634","49,156",
446,Health and personal care stores,"25,287","23,734","26,412","25,190","25,120","25,330","25,474","25,384","25,749","26,251","25,424","30,134","309,489",
44611,Pharmacies and drug stores,"21,360","19,742","21,974","21,160","21,061","21,078","21,349","21,105","21,574","22,163","21,196","24,690","258,452",
447,Gasoline stations,"33,142","32,288","37,609","37,945","42,253","42,879","44,000","42,053","37,692","38,138","34,074","33,674","455,747",
448,Clothing and clothing access. stores,"15,840","18,079","20,819","20,470","22,239","19,758","20,671","22,424","19,233","20,750","23,122","33,521","256,926",
4481,Clothing stores,"11,638","12,627","15,495","15,134","16,199","14,618","15,277","16,214","14,316","15,600","17,402","22,861","187,381",
44811,Men's clothing stores,613,668,739,814,848,762,705,762,742,799,810,"1,137","9,399",
44812,Women's clothing stores,"2,486","2,734","3,470","3,396","3,671","3,169","3,130","3,326","3,085","3,401","3,593","4,778","40,239",
44814,Family clothing stores,"5,997","6,492","8,110","7,999","8,600","7,812","8,459","8,766","7,725","8,555","9,811","12,582","100,908",
44819,Other clothing stores,"1,273","1,289","1,459","1,348","1,366","1,408","1,361","1,523","1,286","1,316","1,421","1,947","16,997",
4482,Shoe stores,"2,108","2,655","3,008","2,822","2,960","2,607","2,957","3,758","2,685","2,779","2,919","4,151","35,409",
44831,Jewelry stores,"1,886","2,611","2,126","2,291","2,841","2,339","2,218","2,248","2,031","2,160","2,575","6,035","31,361",
451,"Sporting goods, hobby, musical instrument, and book stores","6,256","5,427","6,531","6,239","6,639","6,732","6,790","7,916","6,866","6,438","7,610","12,110","85,554",
45111,Sporting goods stores,"2,869","2,863","3,733","3,615","3,876","4,150","4,154","4,386","3,697","3,468","3,878","6,213","46,902",
45112,"Hobby, toy, and game stores","1,127","1,157","1,320","1,222","1,232","1,154","1,189","1,196","1,281","1,431","2,168","3,573","18,050",
451211,Book stores,"1,487",686,656,651,750,683,692,"1,546","1,063",718,724,"1,318","10,974",
452,General merchandise stores,"49,843","49,471","55,122","52,865","57,963","54,675","55,412","57,313","52,193","56,241","62,188","76,852","680,138",
4521,Department stores,"10,843","11,265","13,222","12,379","13,732","12,619","12,625","13,740","12,099","13,033","16,423","23,094","165,074",
452111,Department stores(excl. discount department stores),"3,410","3,839","4,422","4,451","4,879","4,184","4,049","4,343","4,184","4,408","5,973","9,157","57,299",
452112,Discount dept. stores,"7,433","7,426","8,800","7,928","8,853","8,435","8,576","9,397","7,915","8,625","10,450","13,937","107,775",
4529,Other general merchandise stores,"39,000",38206,41900,"40,486","44,231","42,056","42,787","43,573","40,094","43,208","45,765","53,758","515,064",
45291,Warehouse clubs and superstores,"34,246","33,229","36,342","35,096","38,377","36,489","37,224","38,087","34,736","37,413","39,737","46,086","447,062",
45299,All other gen. merchandise stores,"4,754","4,977","5,558","5,390","5,854","5,567","5,563","5,486","5,358","5,795","6,028","7,672","68,002",
453,Miscellaneous store retailers,"8,566","8,436","9,285","9,373","10,900","10,394","10,354","10,386","9,686","10,276","9,680","11,154","118,490",
4532,"Office supplies, stationery, and gift stores","2,458","2,311","2,381","2,434","2,530","2,415","2,625","2,990","2,670","3,101","2,472","3,584","31,971",
45321,Office supplies and stationery stores,"1,414","1,206","1,179","1,146","1,087","1,039","1,140","1,557","1,289","1,124","1,048","1,255","14,484",
45322,"Gift, novelty, and souvenir stores","1,044","1,105","1,202","1,288","1,443","1,376","1,485","1,433","1,381","1,977","1,424","2,329","17,487",
45330,Used merchandise stores,"1,182","1,125","1,345","1,294","1,346","1,310","1,430","1,477","1,397","1,524","1,321","1,348","16,099",
454,Nonstore retailers,"39,035","37,502","41,105","39,138","37,973","38,554","39,159","38,411","39,353","40,944","46,411","60,776","498,361",
4541,Electronic shopping and mail-order houses,"30,801","29,056","33,099","32,556","32,212","32,740","33,452","33,055","33,618","34,577","40,199","53,781","419,146",
45431,Fuel dealers,"4,888","5,128","4,138","2,512","1,836","1,694","1,675","1,601","1,790","2,313","2,388","2,826","32,789",
722,Food services and drinking places,"48,089","46,736","53,263","52,412","55,541","52,138","53,200","53,202","50,763","54,025","50,184","54,546","624,099",
7224,Drinking places,"1,712","1,651","1,909","1,783","1,928","1,787","1,884","1,888","1,786","1,925","1,819","1,942","22,014",
7225,Restaurants and other eating places,"42,259","40,795","46,833","45,609","48,625","45,981","46,940","46,759","43,524","46,418","43,635","47,925","545,303",
722511,Full service restaurants,"22,141","21,339","24,154","22,950","24,763","22,908","23,258","23,344","21,584","23,333","21,976","24,848","276,598",
"722513, 722514, 722515",Limited service eating places,"20,118","19,456","22,679","22,659","23,862","23,073","23,682","23,415","21,940","23,085","21,659","23,077","268,705",
,ADJUSTED(2),,,,,,,,,,,,,,
,"Retail and food services sales, total","436,482","435,847","442,487","443,095","446,529","447,343","450,350","450,521","448,635","447,262","449,121","450,792",,
,Retail sales and food services excl motor vehicle and parts,"347,963","348,562","351,347","351,403","354,216","354,938","357,855","357,320","355,035","354,371","355,197","357,320",,
,Retail sales and food services excl gasoline stations,"399,901","398,039","404,110","405,263","407,260","407,456","410,057","411,292","411,682","410,696","412,987","414,816",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"311,382","310,754","312,970","313,571","314,947","315,051","317,562","318,091","318,082","317,805","319,063","321,344",,
,"Retail sales, total","385,648","385,157","391,420","391,356","394,718","395,464","398,193","398,105","396,248","394,503","396,240","397,052",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","297,129","297,872","300,280","299,664","302,405","303,059","305,698","304,904","302,648","301,612","302,316","303,580",,
,GAFO(1),"104,531","104,165","104,604","104,743","105,693","105,209","105,660","105,616","105,813","105,201","105,395","106,181",,
441,Motor vehicle and parts dealers,"88,519","87,285","91,140","91,692","92,313","92,405","92,495","93,201","93,600","92,891","93,924","93,472",,
"4411,4412",Automobile and other motor vehicle dealers,"81,226","79,893","83,687","84,131","84,717","84,717","84,764","85,573","86,017","85,294","86,196","85,820",,
4413,"Automotive parts, acc., and tire stores","7,293","7,392","7,453","7,561","7,596","7,688","7,731","7,628","7,583","7,597","7,728","7,652",,
"442,443","Furniture, home furn, electronics, and appliance stores","17,315","16,998","17,114","17,264","17,509","17,440","17,435","17,442","17,432","17,455","17,286","17,503",,
442,Furniture and home furnishings stores,"8,688","8,501","8,759","8,882","9,066","8,903","9,064","9,086","9,045","9,162","9,152","9,361",,
443,Electronics and appliance stores,"8,627","8,497","8,355","8,382","8,443","8,537","8,371","8,356","8,387","8,293","8,134","8,142",,
444,Building mat. and garden equip. and supplies dealers,"26,517","25,555","26,534","26,690","26,826","26,570","27,326","27,385","27,138","27,331","27,638","28,165",,
4441,Building mat. and supplies dealers,"23,015","22,161","23,145","23,180","23,182","23,001","23,641","23,722","23,507","23,660","24,065","24,671",,
445,Food and beverage stores,"57,112","57,196","57,188","57,092","57,163","57,419","57,573","57,593","57,407","57,134","57,540","57,365",,
4451,Grocery stores,"51,233","51,321","51,272","51,135","51,241","51,455","51,573","51,578","51,420","51,231","51,599","51,333",,
4453,"Beer, wine and liquor stores","4,021","4,034","4,101","4,060","4,087","4,096","4,124","4,136","4,103","4,084","4,119","4,176",,
446,Health and personal care stores,"25,440","25,249","25,793","25,393","25,348","25,534","25,783","25,955","26,194","26,043","26,210","26,433",,
44611,Pharmacies and drug stores,"21,149","20,958","21,628","21,181","21,188","21,291","21,456","21,580","22,241","21,750","21,874","22,124",,
447,Gasoline stations,"36,581","37,808","38,377","37,832","39,269","39,887","40,293","39,229","36,953","36,566","36,134","35,976",,
448,Clothing and clothing access. stores,"21,039","21,326","21,381","21,444","21,626","21,391","21,548","21,587","21,446","21,239","21,348","21,506",,
4481,Clothing stores,"15,314","15,572","15,651","15,689","15,816","15,569","15,704","15,789","15,704","15,512","15,596","15,541",,
44811,Men's clothing stores,776,805,779,780,781,777,784,810,778,776,777,797,,
44812,Women's clothing stores,"3,405","3,350","3,356","3,300","3,390","3,350","3,351","3,408","3,310","3,347","3,305","3,401",,
4482,Shoe stores,"2,884","2,911","2,906","2,885","2,963","2,916","2,969","2,947","2,987","2,998","2,966","3,041",,
44831,Jewelry stores,"2,612","2,627","2,609","2,627","2,631","2,685","2,644","2,626","2,523","2,497","2,550","2,664",,
451,"Sporting goods, hobby, musical instrument, and book stores","6,951","6,985","7,076","7,082","7,123","7,094","7,140","7,170","7,197","7,106","7,213","7,353",,
452,General merchandise stores,"56,497","56,158","56,368","56,245","56,778","56,644","56,924","56,743","57,113","56,750","56,938","57,161",,
4521,Department stores,"13,986","13,836","13,959","13,801","14,037","13,770","13,709","13,682","13,755","13,669","13,627","13,512",,
4529,Other general merchandise stores,"42,511","42,322","42,409","42,444","42,741","42,874","43,215","43,061","43,358","43,081","43,311","43,649",,
45291,Warehouse clubs and superstores,"36,983","36,798","36,783","36,904","37,079","37,234","37,562","37,340","37,634","37,338","37,559","37,837",,
45299,All other gen. merchandise stores,"5,528","5,524","5,626","5,540","5,662","5,640","5,653","5,721","5,724","5,743","5,752","5,812",,
453,Miscellaneous stores retailers,"9,847","9,760","9,788","9,725","9,997","10,040","10,059","10,158","9,714","9,726","9,863","9,763",,
454,Nonstore retailers,"39,830","40,837","40,661","40,897","40,766","41,040","41,617","41,642","42,054","42,262","42,146","42,355",,
4541,Electronic shopping and mail order houses,"33,155","33,591","33,706","34,162","34,341","34,427","35,028","35,240","35,612","35,831","36,053","36,363",,
45431,Fuel dealers,"2,982","3,539","3,125","2,810","2,676","2,715","2,667","2,566","2,532","2,495","2,179","1,960",,
722,Food services and drinking places,"50,834","50,690","51,067","51,739","51,811","51,879","52,157","52,416","52,387","52,759","52,881","53,740",,
,,,,,,,,,,,,,,,
"(1) GAFO represents stores classified in the following NAICS codes:  442, 443, 448, 451, 452, and 4532. NAICS code 4532 includes office supplies, stationery, and gift stores.",,,,,,,,,,,,,,,
"(2) Estimates are adjusted for seasonal variations and holiday and trading-day differences, but not for price changes. Cumulative seasonally adjusted sales estimates are not tabulated.",,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,
Note: Estimates are not adjusted for price changes. Retail and food services total and other subsector totals may include data for kinds of business not shown.,,,,,,,,,,,,,,,
"Information on sample design, estimation procedures, and measures of sampling variability can be found on the internet at http://www.census.gov/retail/mrts/how_surveys_are_collected.html.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
